"";"my_intensity";"pattern";"theoretical_intensity";"process_type";"my_kappa";"my_mu";"my_scale";"my_r";"expect_disp_ind";"nsim";"sample_size";"intensity";"pop_size";"dispersion_index";"mean_random";"median_random";"var_random";"mean_syst";"median_syst";"var_syst";"mean_BAS";"median_BAS";"var_BAS";"prop_zero_random";"prop_zero_syst";"prop_zero_BAS";"biais_random";"biais_syst";"biais_BAS";"MSE_random";"MSE_syst";"MSE_BAS";"RMSE_random";"RMSE_syst";"RMSE_BAS";"var_ratio_syst";"var_ratio_BAS";"cluster_diam"
"162";"intensity = 1";"int1_disp15";1;"Matern_cluster";0,01;100;1,30625;NA;14,97974197;10000;"400";1,00029166;10002,9166;14,953765673419;1,00184225;0,9925;0,0469850639963371;0,99904825;0,9875;0,0388418214790854;1,00391625;0,995;0,0394562542363611;0,9060735;0,9061455;0,9059965;0,00155058999999991;-0,00124341000000006;0,00362459000000004;0,036780032019;0,028300112519;0,029245476919;0,191781208722335;0,168226372840289;0,171013089905422;0,82668444342469;0,839761636579596;2,6125
"171";"intensity = 1";"int1_disp16";1;"Matern_cluster";0,01;100;1,25;NA;16,00245654;10000;"400";0,99963272;9996,3272;16,01617908606;1,0009255;0,99;0,0490047726770177;1,002137;0,9925;0,0392449277237724;0,99915175;0,9925;0,0418868485317907;0,9110515;0,91100075;0,9112025;0,00129277999999988;0,00250428000000003;-0,000480970000000025;0,038804209972;0,029262961322;0,031864337847;0,19698784219337;0,171064202339356;0,178505848215121;0,800838889355312;0,854750389474509;2,5
"180";"intensity = 1";"int1_disp17";1;"Matern_cluster";0,01;100;1,2;NA;17,03596475;10000;"400";0,99876869;9987,6869;17,0611389456986;0,9999755;0,9925;0,0513795161013601;0,9976085;0,99;0,0422767446522152;0,999196930451128;0,99;0,045016404117706;0,9154095;0,915611;0,915464;0,00120681;-0,00116019000000001;0,00042824045112777;0,040928427335;0,032316919935;0,034865826773972;0,202307754016004;0,179769073911505;0,186723931979733;0,822832674578188;0,876154692249316;2,4
"189";"intensity = 1";"int1_disp18";1;"Matern_cluster";0,01;100;1,15625;NA;18,0469843;10000;"400";0,99979967;9997,9967;18,0706304876758;0,99920075;0,99;0,0528830213765752;0,995592;0,985;0,0454359193779378;0,9997165;0,9925;0,0468725056283128;0,91910925;0,91931375;0,91921025;-0,000598920000000058;-0,00420767;-8,31700000000213e-05;0,043074743052;0,035539434177;0,037357321577;0,207544556787211;0,188519055209281;0,19328042212547;0,859177826743158;0,886343185547929;2,3125
"198";"intensity = 1";"int1_disp19";1;"Matern_cluster";0,01;100;1,115625;NA;19,02468195;10000;"400";1,00258573;10025,8573;19,0727341314037;1,0010935;0,99;0,0549017106788179;1,0002895;0,9875;0,0474002487146215;1,00264575;0,98875;0,0498820538373212;0,92229225;0,9223835;0,92215975;-0,00149222999999998;-0,00229623000000001;6,00199999998274e-05;0,045809270853;0,037976879453;0,039921969178;0,21403100441992;0,194876574921154;0,199804827714447;0,86336560607226;0,908570119593134;2,23125
"207";"intensity = 1";"int1_disp20";1;"Matern_cluster";0,01;100;1,08125;NA;19,96127823;10000;"400";0,99917458;9991,7458;19,9944303416392;1,00125525;0,9875;0,057500123734811;0,9980605;0,9875;0,0497830441441644;0,9996525;0,9875;0,0521065011438644;0,92538175;0,9253595;0,92521075;0,00208067000000001;-0,00111408000000002;0,000477920000000021;0,047265467067;0,039663247892;0,042343959442;0,217406225915911;0,199156340325886;0,205776479321617;0,865790208970027;0,906198069836826;2,1625
"216";"intensity = 1";"int1_disp21";1;"Matern_cluster";0,01;100;1,046875;NA;20,98927839;10000;"400";0,99975224;9997,5224;20,9876426299306;0,99769775;0,9875;0,0594275642763651;1,002719;0,9925;0,0524136184008401;0,9997725;0,9925;0,0530527072644764;0,92823375;0,9279935;0,92797525;-0,00205448999999991;0,00296675999999996;2,02599999999942e-05;0,049780672657;0,042412638032;0,043389045182;0,223115827894392;0,205943288387847;0,208300372496066;0,88197487208281;0,892728953482887;2,09375
"225";"intensity = 1";"int1_disp22";1;"Matern_cluster";0,01;100;1,015625;NA;21,97406627;10000;"400";0,99891914;9989,1914;21,9545025826327;0,99728525;0,9825;0,0640639208995274;0,99966675;0,99;0,0533384784172792;1,00224125;0,99;0,0566007374971872;0,93065;0,9304865;0,93036275;-0,00163389000000003;0,00074761000000001;0,00332210999999993;0,054553880379;0,043998907179;0,046806765479;0,233567721183814;0,209759164708005;0,216348712681633;0,83258217212354;0,883504111244692;2,03125
"234";"intensity = 1";"int1_disp23";1;"Matern_cluster";0,01;100;0,98125;NA;23,00996667;10000;"400";0,99881754;9988,1754;23,0932653059762;0,9974295;0,985;0,0649306818479348;0,99588525;0,985;0,05650717892533;1,00081825;0,99;0,0590426203539729;0,933327;0,93332725;0,933055;-0,00138804000000003;-0,00293229000000006;0,00200071000000002;0,055668897674;0,047095897099;0,049041446449;0,235942572830763;0,217015891351302;0,221453034409104;0,870269298228959;0,909317731981446;1,9625
"243";"intensity = 1";"int1_disp24";1;"Matern_cluster";0,01;100;0,95625;NA;24,00159022;10000;"400";0,99972753;9997,2753;23,9792919296971;1,00098125;0,99;0,0662963761610536;1,004892;0,99;0,0585739807340734;1,00134175;0,9875;0,0617759679287304;0,935186;0,93503825;0,9350285;0,0012537199999999;0,00516446999999987;0,00161421999999989;0,056199825344;0,048491956769;0,051749192344;0,237065023451373;0,220208893482984;0,227484488139301;0,883517080809663;0,931815153495844;1,9125
"252";"intensity = 1";"int1_disp25";1;"Matern_cluster";0,01;100;0,9296875;NA;25,00657478;10000;"400";0,99967633;9996,7633;24,9699569649067;1,00414875;0,99;0,0702514011385514;0,999066;0,9875;0,0636304869426943;1,00146;0,99;0,0631196503650365;0,9370595;0,93711275;0,9371445;0,00447241999999992;-0,000610329999999992;0,00178367000000001;0,058883137624;0,052413946649;0,052931254799;0,242658479398516;0,228940923927986;0,230067935182198;0,905753990830743;0,898482440806419;1,859375
"261";"intensity = 1";"int1_disp26";1;"Matern_cluster";0,01;100;0,9046875;NA;25,96370659;10000;"400";0,99911863;9991,1863;25,9489152074352;1,00212;0,9875;0,0722529946494649;1,001008;0,9875;0,0660657905150515;0,99409;0,9825;0,0658175411541154;0,93900775;0,93898925;0,939265;0,00300136999999989;0,00188936999999989;-0,00502862999999998;0,062487124639;0,055379824239;0,056117962489;0,249974247951664;0,235329182718591;0,236892301455746;0,914367505950021;0,910931671046008;1,809375
"270";"intensity = 1";"int1_disp27";1;"Matern_cluster";0,01;100;0,8796875;NA;26,9671374;10000;"400";0,99917665;9991,7665;27,0001462162304;0,99770175;0,98;0,0750926079327308;0,99790925;0,9825;0,0672364480342409;1,000548;0,985;0,0714522624222422;0,94098575;0,94105;0,94083525;-0,00147489999999995;-0,00126740000000003;0,00137134999999999;0,064255270402;0,057141129202;0,060214980177;0,253486233160699;0,239042107591947;0,245387408350551;0,895380382773128;0,951521919258023;1,759375
"279";"intensity = 1";"int1_disp28";1;"Matern_cluster";0,01;100;0,85625;NA;28,03641094;10000;"400";0,99966938;9996,6938;28,0338770336934;1,00223425;0,98625;0,0764496024621837;1,0009145;0,9825;0,0709431355033003;1,005055;0,99;0,071689949719972;0,94253975;0,94258675;0,94243125;0,00256487000000005;0,00124511999999988;0,00538561999999998;0,066110848671;0,061022869296;0,061643143596;0,25712029999788;0,247028073902542;0,248280372957671;0,927972588718075;0,937741301603679;1,7125
"288";"intensity = 1";"int1_disp29";1;"Matern_cluster";0,01;100;0,83515625;NA;29,02217337;10000;"400";0,9993247;9993,247;29,002263033181;0,99743525;0,98;0,0799703472171592;0,99832675;0,9825;0,0716742682862661;0,998261;0,9825;0,0732203729162916;0,94427225;0,9443145;0,94407725;-0,00188944999999996;-0,000997949999999914;-0,0010637;0,070585022389;0,061764104739;0,064108474064;0,265678419125453;0,24852385144891;0,253196512740598;0,896260561325748;0,915594035342399;1,6703125
"297";"intensity = 1";"int1_disp30";1;"Matern_cluster";0,01;100;0,815625;NA;29,96737049;10000;"400";0,99918901;9991,8901;29,9490417972946;1,00237625;0,985;0,0814399843093684;1,001347;0,985;0,0725985154425443;1,0039515;0,9875;0,0761298723849885;0,9455115;0,9454465;0,9454655;0,00318723999999992;0,00215798999999994;0,00476249000000006;0,072343787296;0,063207636521;0,065999146921;0,268968004223551;0,251411289565524;0,256902991265186;0,891435773940748;0,934797237875093;1,63125
"306";"intensity = 1";"int1_disp31";1;"Matern_cluster";0,01;100;0,7953125;NA;30,9992582;10000;"400";1,00005159;10000,5159;30,9835297342234;1,00055925;0,98;0,0852850413685744;1,00008725;0,9825;0,0762943524476823;1,00386125;0,99;0,0787521828417217;0,94700575;0,946937;0,946854;0,000507660000000021;3,56599999999929e-05;0,00380965999999994;0,074593743586;0,066380318936;0,069983005286;0,273118552255243;0,257643783033862;0,264543012166264;0,894580705166839;0,923399714392823;1,590625
"315";"intensity = 1";"int1_disp32";1;"Matern_cluster";0,01;100;0,7765625;NA;31,95562465;10000;"400";1,00070777;10007,0777;31,9745461062174;1,010046;0,9925;0,0883522118551855;1,00040425;0,985;0,07748767722466;0,997924078320802;0,98;0,0809977655875833;0,94797475;0,948367;0,9484115;0,00933823;-0,000303519999999891;-0,00278369167919801;0,078148745187;0,068351675312;0,0711566559955846;0,279550970642207;0,261441533257438;0,266752049655827;0,877031549042222;0,916759907724138;1,553125
"324";"intensity = 1";"int1_disp33";1;"Matern_cluster";0,01;100;0,759375;NA;33,03074224;10000;"400";0,99844985;9984,4985;32,9156646428924;0,995745;0,975;0,0913378600110011;1,0003365;0,9825;0,0838538809058406;0,99817425;0,98;0,0837761486268002;0,949508;0,94959225;0,9495825;-0,00270484999999998;0,00188664999999999;-0,000275599999999931;0,080272329935;0,073491615785;0,07343277961;0,283323719330027;0,271093370972069;0,270984832804347;0,918062683926916;0,9172116427592;1,51875
"333";"intensity = 1";"int1_disp34";1;"Matern_cluster";0,01;100;0,740625;NA;34,03626429;10000;"400";0,99923475;9992,3475;33,9691261576862;0,999983;0,98;0,0902530225132513;0,99705675;0,9775;0,085613804284866;1,00087425;0,9825;0,0850359999119287;0,9506455;0,95085625;0,95072925;0,000748250000000006;-0,0021779999999999;0,00163950000000013;0,080647052171;0,075677723246;0,075659358846;0,283984246342997;0,275095843745412;0,275062463535103;0,948597641395288;0,942195591282756;1,48125
"342";"intensity = 1";"int1_disp35";1;"Matern_cluster";0,01;100;0,721875;NA;34,99660539;10000;"400";1,00127568;10012,7568;35,0629314364027;1,0040435;0,985;0,0932392090286529;1,00058725;0,9825;0,0892071539778353;0,9980575;0,9825;0,0872104739911491;0,95178075;0,952054;0,952066;0,00276782000000009;-0,000688430000000073;-0,00321817999999996;0,0832850895;0,079130286325;0,07744521835;0,28859156172695;0,281301059942902;0,278289810000294;0,956755799487976;0,935341203552562;1,44375
"351";"intensity = 1";"int1_disp36";1;"Matern_cluster";0,01;100;0,70625;NA;36,00421495;10000;"400";1,00109238;10010,9238;36,0413383053853;0,99703875;0,975;0,0957260729807356;0,99833125;0,9825;0,0884466480632438;1,002277;0,9875;0,0896223350045005;0,9531305;0,952991;0,9529935;-0,00405363000000003;-0,00276113;0,00118462000000008;0,085972190857;0,079253263357;0,079961600682;0,293210147943416;0,281519561233318;0,282774823281706;0,923955671732646;0,936237455625455;1,4125
"360";"intensity = 1";"int1_disp37";1;"Matern_cluster";0,01;100;0,691015625;NA;36,98155238;10000;"400";0,99888666;9988,8666;36,9970410034035;0,995473;0,975;0,0990381600870087;0,999178;0,9775;0,0944536996859686;0,988369540726817;0,97;0,0936679849683939;0,9542935;0,95406225;0,9543565;-0,00341365999999999;0,000291339999999973;-0,010517119273183;0,088332485824;0,083415982574;0,0831192552563762;0,29720781588646;0,288818251802063;0,288304102045698;0,953710161850619;0,945776707544881;1,38203125
"369";"intensity = 1";"int1_disp38";1;"Matern_cluster";0,01;100;0,675;NA;38,01427388;10000;"400";1,00133156;10013,3156;38,047526808302;1,00850825;0,985;0,10290267182412;1,000885;0,9825;0,0938282170967097;1,00529425;0,9825;0,0968484251344509;0,95490375;0,9551805;0,955057;0,0071766900000001;-0,000446559999999874;0,00396269000000005;0,092723537111;0,083833075536;0,087487018111;0,304505397507171;0,289539419658187;0,29578204494357;0,911815168969371;0,941165311042489;1,35
"378";"intensity = 1";"int1_disp39";1;"Matern_cluster";0,01;100;0,6625;NA;38,95358881;10000;"400";1,00079721;10007,9721;38,8838896014949;0,99879325;0,9775;0,103006560035441;1,001847;0,98;0,100710848425843;1,00066074498747;0,9825;0,0971478427760916;0,95607475;0,95588225;0,955972;-0,00200396000000003;0,00104978999999994;-0,000136465012531284;0,094314852606;0,090262147081;0,0871614684232939;0,307107233073401;0,30043659411097;0,29523121180406;0,977712957225165;0,943122872394403;1,325
"387";"intensity = 1";"int1_disp40";1;"Matern_cluster";0,01;100;0,646875;NA;39,95754615;10000;"400";1,0000445;10000,445;39,9530812196468;0,996012;0,9725;0,105295315387539;0,99603;0,97375;0,100380130863086;1,00138252944862;0,98;0,100632965087931;0,957073;0,95698425;0,9569455;-0,00403249999999999;-0,00401450000000003;0,0013380294486216;0,094893320708;0,089897953558;0,0906248158912336;0,308047594874558;0,299829874358777;0,301039558681635;0,953320007577145;0,955721199158308;1,29375
"396";"intensity = 1";"int1_disp41";1;"Matern_cluster";0,01;100;0,63125;NA;40,98332096;10000;"400";1,00021539;10002,1539;41,0621996519355;0,9991745;0,98;0,110567709070657;1,00142925;0,985;0,101052248094247;1,00457675;0,98;0,105004626947132;0,95808825;0,95788625;0,95783775;-0,00104088999999996;0,00121386000000001;0,00436136000000009;0,099010248129;0,091169620904;0,094311350904;0,314658939375636;0,301943075602008;0,307101531914121;0,913939964421897;0,949686195270901;1,2625
"405";"intensity = 1";"int1_disp42";1;"Matern_cluster";0,01;100;0,61875;NA;41,95170788;10000;"400";0,99975411;9997,5411;41,930413050679;1,00315025;0,98;0,110362691569094;1,001917;0,9775;0,103938972758276;0,99928475;0,975;0,106830910883526;0,958737;0,95874525;0,95873475;0,00339613999999999;0,00216288999999992;-0,000469359999999974;0,100664363792;0,093554023917;0,096658491792;0,317276478472641;0,305866022822085;0,310899488246604;0,941794471306484;0,96799841834813;1,2375
"414";"intensity = 1";"int1_disp43";1;"Matern_cluster";0,01;100;0,60625;NA;42,96624406;10000;"400";1,0014701;10014,701;42,8779072334917;0,99919075;0,97;0,11466440342978;1,004094;0,975;0,109474769140914;0,99743325;0,975;0,106400401209558;0,95949625;0,95939275;0,95951425;-0,0022793499999999;0,00262390000000012;-0,00403684999999987;0,104274070965;0,09870247774;0,096664236065;0,322914959339142;0,31416950479001;0,310908726260618;0,95474066812684;0,927928790688011;1,2125
"423";"intensity = 1";"int1_disp44";1;"Matern_cluster";0,01;100;0,59140625;NA;44,01152564;10000;"400";0,9990927;9990,927;43,9779768919185;0,99657275;0,975;0,113427096042042;1,005002;0,9825;0,107931333129313;1,00064799937343;0,9775;0,110692204320381;0,96052525;0,96032325;0,96050275;-0,00251995000000005;0,0059092999999999;0,00155529937343357;0,103492033459;0,098471691834;0,100376429307939;0,321701777208333;0,313801994630372;0,316822393949574;0,951548059462866;0,975888550292717;1,1828125
"432";"intensity = 1";"int1_disp45";1;"Matern_cluster";0,01;100;0,577929688;NA;45,02018552;10000;"400";1,00035894;10003,5894;45,0257767085094;0,99934225;0,975;0,117543248564794;0,9957015;0,9725;0,111033094957246;0,99617525;0,9725;0,111790996012039;0,96131725;0,96146175;0,96133325;-0,00101668999999993;-0,0046574399999999;-0,00418368999999996;0,107641543637;0,101600455362;0,102286407937;0,32808770723238;0,31874826330821;0,319822463152606;0,944614823164772;0,95106267162946;1,155859376
"441";"intensity = 1";"int1_disp46";1;"Matern_cluster";0,01;100;0,565625;NA;45,9802245;10000;"400";1,0011907;10011,907;45,9750602283305;1,0005315;0,9725;0,120864855243274;1,00319225;0,975;0,116190795494487;1,00721025;0,985;0,114868863556293;0,9620045;0,96200725;0,9619985;-0,000659200000000082;0,00200154999999991;0,00601954999999998;0,11145861534;0,106307676915;0,104740511015;0,333854182750494;0,326048580605713;0,323636387037984;0,961328214563452;0,950390941395556;1,13125
"450";"intensity = 1";"int1_disp47";1;"Matern_cluster";0,01;100;0,552929688;NA;47,00473488;10000;"400";1,00010034;10001,0034;46,9742758426681;1,006619;0,98;0,126766853024302;1,00617975;0,9825;0,116999420006938;1,004808;0,98;0,116763790765077;0,96261225;0,96262275;0,96260325;0,00651866000000001;0,00607941000000012;0,00470766;0,116393535948;0,106528845023;0,106930577198;0,34116496881714;0,326387568732328;0,327002411608844;0,922949629304975;0,921090868625505;1,105859376
"459";"intensity = 1";"int1_disp48";1;"Matern_cluster";0,01;100;0,539819336;NA;48,03261451;10000;"400";0,99999535;9999,9535;48,0612220313196;1,0064375;0,98;0,126702375081258;0,99818625;0,97;0,11995134232017;1,00313625;0,9775;0,121294791540092;0,963602;0,96370725;0,96357925;0,00644215000000015;-0,0018090999999999;0,00314090000000011;0,116159011345;0,11039724687;0,11101159967;0,340821084067579;0,332260811517097;0,333184032735664;0,946717393760307;0,957320582682854;1,079638672
"468";"intensity = 1";"int1_disp49";1;"Matern_cluster";0,01;100;0,528528786;NA;49,0449065;10000;"400";1,00012514;10001,2514;48,9334653446336;1,00753175;0,9825;0,126633146681606;0,9997295;0,975;0,122754298509601;1,0030305;0,9825;0,122794360505801;0,964229;0,96436175;0,9642595;0,00740661000000009;-0,000395639999999919;0,00290535999999997;0,117274251787;0,113131099312;0,112830495912;0,342453284094342;0,33634966822044;0,335902509535133;0,969369408613392;0,969685771250264;1,057057572
"477";"intensity = 1";"int1_disp50";1;"Matern_cluster";0,01;100;0,51640625;NA;49,96020108;10000;"400";1,00026074;10002,6074;49,9481016390546;0,9947755;0,9675;0,128097783128063;0,999722;0,97;0,126205849550955;1,00393325;0,975;0,125607289648402;0,9652655;0,964958;0,9649595;-0,00548524000000006;-0,000538740000000093;0,00367250999999991;0,117917549566;0,115778197116;0,116477533691;0,343391248528555;0,340261953670992;0,341288050905683;0,985230551763599;0,980557872128274;1,0328125
"486";"intensity = 1";"int1_disp51";1;"Matern_cluster";0,01;100;0,502734375;NA;51,02311239;10000;"400";0,99874257;9987,4257;51,071392313677;0,998499;0,9725;0,130402078456846;0,99617625;0,97;0,125906511462084;0,9984445;0,97;0,126005120931843;0,965838;0,96599875;0,965903;-0,000243569999999971;-0,00256632000000001;-0,000298070000000039;0,120885137655;0,11623122043;0,115795071905;0,347685400405309;0,340927001614715;0,340286749528982;0,965525342479494;0,966281538016608;1,00546875
"495";"intensity = 1";"int1_disp52";1;"Matern_cluster";0,01;100;0,5;NA;52,00600416;10000;"400";0,99859179;9985,9179;51,2808293645566;0,99877525;0,9725;0,133666205983036;1,0058945;0,9775;0,127940485168267;0,99796925;0,97;0,125881327312169;0,96613125;0,96595125;0,966147;0,000183460000000024;0,00730270999999993;-0,000622539999999949;0,123390792576;0,118124653401;0,116490857076;0,351270255751893;0,343692672893968;0,34130756961427;0,957164035796036;0,94175881170851;1
